Date,Country/Region,value
2020-02-11,Algeria,
2020-02-12,Algeria,
2020-02-13,Algeria,
2020-02-14,Algeria,
2020-02-15,Algeria,
2020-02-16,Algeria,
2020-02-17,Algeria,
2020-02-18,Algeria,
2020-02-19,Algeria,
2020-02-20,Algeria,
2020-02-21,Algeria,
2020-02-22,Algeria,
2020-02-23,Algeria,
2020-02-24,Algeria,
2020-02-25,Algeria,
2020-02-26,Algeria,
2020-02-27,Algeria,
2020-02-28,Algeria,
2020-02-29,Algeria,
2020-03-01,Algeria,
2020-03-02,Algeria,
2020-03-03,Algeria,
2020-03-04,Algeria,
2020-03-05,Algeria,
2020-03-06,Algeria,
2020-03-07,Algeria,
2020-03-08,Algeria,
2020-03-09,Algeria,
2020-03-10,Algeria,
2020-03-11,Algeria,
2020-03-12,Algeria,
2020-03-13,Algeria,
2020-03-14,Algeria,
2020-03-15,Algeria,inf
2020-03-16,Algeria,inf
2020-03-17,Algeria,inf
2020-03-18,Algeria,inf
2020-03-19,Algeria,inf
2020-03-20,Algeria,14.2857
2020-03-21,Algeria,14.2857
2020-03-22,Algeria,9.5238
2020-03-23,Algeria,6.8966
2020-03-24,Algeria,6.8966
2020-03-25,Algeria,6.8966
2020-03-26,Algeria,4.0
2020-03-27,Algeria,3.125
2020-03-28,Algeria,2.5316
2020-03-29,Algeria,1.8692
2020-03-30,Algeria,2.4793
2020-03-31,Algeria,3.3058
2020-04-01,Algeria,3.6765
2020-04-02,Algeria,6.0
2020-04-03,Algeria,6.4327
2020-04-04,Algeria,8.1871
2020-04-05,Algeria,9.1398
2020-04-06,Algeria,10.3627
2020-04-07,Algeria,9.5023
2020-04-08,Algeria,7.3427
2020-04-09,Algeria,5.7692
2020-04-10,Algeria,4.0
2020-04-11,Algeria,3.1297
2020-04-12,Algeria,2.4361
2020-04-13,Algeria,2.0747
2020-04-14,Algeria,1.7056
2020-04-15,Algeria,1.5286
2020-04-16,Algeria,1.2177
2020-04-17,Algeria,1.0
2020-04-18,Algeria,0.7912
2020-04-19,Algeria,0.683
2020-04-20,Algeria,0.5345
2020-04-21,Algeria,0.4532
2020-04-22,Algeria,0.4469
2020-04-23,Algeria,0.4028
2020-04-24,Algeria,0.3741
2020-04-25,Algeria,0.3784
2020-04-26,Algeria,0.4135
2020-04-27,Algeria,0.4394
2020-04-28,Algeria,0.3981
2020-04-29,Algeria,0.4222
2020-04-30,Algeria,0.4264
2020-05-01,Algeria,0.4068
2020-05-02,Algeria,0.5282
2020-05-03,Algeria,0.4859
2020-05-04,Algeria,0.5302
2020-05-05,Algeria,0.5882
